sigma,realization,dprime_analytic,h0_bottleneck_normalized,h1_bottleneck_normalized
0.5,0,17.724538509055158,1.1491349790104957,1.0971056144496392
0.5,1,17.724538509055158,0.7456713972915686,0.7722047160906998
0.5,2,17.724538509055158,0.7388588139221538,0.802119892823087
0.5,3,17.724538509055158,1.0294286855584742,0.870727102764496
0.5,4,17.724538509055158,0.9198799286482878,0.676551633360946
0.5,5,17.724538509055158,0.8497094191700983,1.0002648712820026
0.5,6,17.724538509055158,0.8316533290083177,1.1447193358351446
0.5,7,17.724538509055158,0.7241453960365217,0.6327034097884192
0.5,8,17.724538509055158,0.7161723932087147,0.5409757748218755
0.5,9,17.724538509055158,0.9204954473785625,1.0844325281200982
0.5,10,17.724538509055158,0.8961933739916725,0.5284789914238546
0.5,11,17.724538509055158,0.5938864671228223,0.51220516173787
0.5,12,17.724538509055158,0.7068681510649563,0.5065385089835366
0.5,13,17.724538509055158,0.7704512239956975,0.5559406408616249
0.5,14,17.724538509055158,0.8378430718593239,0.5888220445315363
0.5,15,17.724538509055158,0.624288108490082,0.8541241656006939
0.75,0,11.816359006036771,0.6380208632073261,0.48308048487524663
0.75,1,11.816359006036771,0.8389022544236457,0.5855866312622365
0.75,2,11.816359006036771,0.8033416999839721,0.3907933320377169
0.75,3,11.816359006036771,0.6210354260532173,0.42348504195730063
0.75,4,11.816359006036771,0.9357915919321655,0.5629126163232109
0.75,5,11.816359006036771,0.8001807830673808,0.9051641080453955
0.75,6,11.816359006036771,0.734969070156197,0.2173317591300609
0.75,7,11.816359006036771,0.5464438819326588,0.5377206070879402
0.75,8,11.816359006036771,0.7677121308545619,0.4478882867366401
0.75,9,11.816359006036771,0.6284983386143984,0.49453638603857025
0.75,10,11.816359006036771,0.7248320614273022,0.5538111771469735
0.75,11,11.816359006036771,0.8910429301520435,0.4125659053300157
0.75,12,11.816359006036771,0.5632592521353957,0.39069472298936875
0.75,13,11.816359006036771,0.5904736997910798,0.5359781448469598
0.75,14,11.816359006036771,0.41722747758604256,0.7053925348285887
0.75,15,11.816359006036771,0.46640499028169335,0.6265382316357915
0.8,0,11.077836568159473,0.6641884728515013,0.5016704153725712
